date,close
2022-01-03,99.74
2022-01-04,100.25
2022-01-05,100.03
2022-01-06,99.71
2022-01-07,98.79
2022-01-10,98.57
2022-01-11,99.67
2022-01-12,100.09
2022-01-13,101.13
2022-01-14,101.38
2022-01-17,101.78
2022-01-18,101.97
2022-01-19,100.27
2022-01-20,101.13
2022-01-21,101.64
2022-01-24,102.15
2022-01-25,100.42
2022-01-26,98.67
2022-01-27,97.79
2022-01-28,97.33
2022-01-31,97.63
2022-02-01,97.59
2022-02-02,98.1
2022-02-03,97.47
2022-02-04,97.77
2022-02-07,98.15
2022-02-08,97.5
2022-02-09,99.18
2022-02-10,99.73
2022-02-11,100.92
2022-02-14,100.3
2022-02-15,99.56
2022-02-16,99.21
2022-02-17,99.11
2022-02-18,99.73
2022-02-21,99.98
2022-02-22,99.53
2022-02-23,98.58
2022-02-24,98.07
2022-02-25,99.27
2022-02-28,98.46
2022-03-01,98.71
2022-03-02,99.13
2022-03-03,97.65
2022-03-04,97.7
2022-03-07,98.97
2022-03-08,96.98
2022-03-09,96.67
2022-03-10,96.56
2022-03-11,95.78
2022-03-14,96.25
2022-03-15,96.19
2022-03-16,94.78
2022-03-17,95.57
2022-03-18,96.21
2022-03-21,97.12
2022-03-22,98.52
2022-03-23,98.87
2022-03-24,98.99
2022-03-25,97.71
2022-03-28,98.31
2022-03-29,97.71
2022-03-30,97.26
2022-03-31,96.03
2022-04-01,95.1
2022-04-04,94.6
2022-04-05,95.82
2022-04-06,93.87
2022-04-07,92.5
2022-04-08,92.72
2022-04-11,94.06
2022-04-12,94.61
2022-04-13,92.81
2022-04-14,90.47
2022-04-15,90.79
2022-04-18,90.13
2022-04-19,89.12
2022-04-20,89.99
2022-04-21,90.98
2022-04-22,91.12
2022-04-25,91.35
2022-04-26,91.74
2022-04-27,93.21
2022-04-28,93.78
2022-04-29,94.27
2022-05-02,94.79
2022-05-03,93.3
2022-05-04,94.49
2022-05-05,95.4
2022-05-06,95.9
2022-05-09,94.01
2022-05-10,93.41
